trial,roc_auc_mean,roc_auc_std,value,batch_size,representation_dim,hidden_neurons,hidden_activation,skip_connection,n_ensemble,n_estimators,max_samples,contamination
0,0.40006537201948955,0.0036178766961740463,0.3964474953233155,577,21,"[32, 16]",tanh,False,81,1,410,0.0010478314218992687
1,0.39483836891931434,0.014389325350785314,0.38044904356852904,847,24,,tanh,True,43,9,323,0.004894020439937251
2,0.3788383579427402,0.019812312762489678,0.3590260451802505,460,27,[32],tanh,False,40,6,64,0.004549074432003105
3,0.3873934085869418,0.020778190301200206,0.3666152182857416,1680,14,[64],tanh,False,30,10,166,0.0026544906688107297
4,0.43008010561248444,0.01360796645842685,0.4164721391540576,1556,33,,relu,False,29,8,374,0.007578658475908916
5,0.4173464549348672,0.010438048475570021,0.4069084064592972,1550,33,"[64, 32]",tanh,True,52,4,293,0.004499741009187491
6,0.42544109509283645,0.009266842053102046,0.41617425303973443,1635,25,[32],relu,True,50,5,302,0.004866104212397631
7,0.3942497782665624,0.014590372347825469,0.3796594059187369,255,30,,tanh,False,46,7,196,0.007001994249174997
8,0.42350360474170623,0.014702919584757512,0.40880068515694873,669,60,[32],tanh,True,25,3,236,0.003681663707053901
9,0.3895630581527126,0.014023172836441382,0.3755398853162712,975,37,"[64, 32]",tanh,False,97,12,109,0.005206756368540822
10,0.4026891879242001,0.012009025663948182,0.39068016226025193,1281,14,"[64, 32]",tanh,False,45,7,289,0.007615864833817889
11,0.42135703567836924,0.0176307135085298,0.40372632216983945,1641,15,"[32, 16]",relu,False,24,8,308,0.0070647659952422035
12,0.3796679844750882,0.023977230170112267,0.35569075430497593,1207,44,[32],tanh,False,33,3,299,0.005792428289425781
13,0.4141932097468109,0.01153180928376633,0.40266140046304455,1290,30,[32],tanh,True,34,5,436,0.0019870009284523667
14,0.4288741849250203,0.010174613482597064,0.4186995714424232,1648,33,"[64, 32]",relu,True,36,6,306,0.006651917671690906
15,0.40907573131305924,0.011216477422821353,0.3978592538902379,949,31,"[128, 64]",tanh,True,21,8,422,0.004549185025405948
16,0.3814762996699829,0.012493638270746042,0.36898266139923686,1910,33,[16],tanh,False,53,5,229,0.0038532506844348572
17,0.4235088332623816,0.01534737617387856,0.40816145708850304,1251,27,[64],tanh,True,13,5,366,0.003830842525761859
18,0.42162404534789005,0.012719076333526433,0.40890496901436363,1297,36,[16],relu,False,37,11,272,0.007817961162567538
19,0.3969380177874942,0.015627572163613,0.3813104456238812,1115,39,,tanh,True,50,7,201,0.006824224695225635
20,0.4241216615689803,0.012116338975469295,0.41200532259351097,1617,31,"[128, 64]",relu,False,19,8,320,0.005230565537748348
21,0.4232882671079249,0.012207384373023081,0.4110808827349018,1625,38,"[128, 64]",relu,True,26,6,386,0.008229669446910164
22,0.414141240299692,0.01286970622280325,0.40127153407688876,1575,26,"[64, 32]",tanh,True,11,6,406,0.008462623236855255
23,0.41882062231764283,0.011107962407536354,0.40771265991010647,1290,44,[64],tanh,True,43,3,198,0.005673958893808796
24,0.4260768798401351,0.015928516888848582,0.41014836295128654,1501,33,[16],tanh,True,14,8,282,0.007221193828442205
25,0.4257560878578424,0.013993598681607535,0.41176248917623487,1552,43,[16],relu,False,35,4,327,0.006132640255335296
26,0.4306516847529601,0.01131371400107592,0.41933797075188417,1347,9,,relu,True,31,8,245,0.0071638218000086035
27,0.42817220673801765,0.010884110483375599,0.417288096254642,1525,30,[16],tanh,True,22,5,187,0.007975133493581069
28,0.41643359619627346,0.008944498806436527,0.4074890973898369,1052,37,"[32, 16]",tanh,True,20,2,367,0.006470285968411449
29,0.43008511275997485,0.013259520516497697,0.41682559224347715,1462,33,"[32, 16]",relu,True,18,7,340,0.006246588091580419
